,year,rnd,type,team,tm_pts,opp_team,op_pts,venue,tm,op,hvar,lr,tm_var,outcome,state
1,1897,R1,reg_season,Fitzroy,49,Carlton,16,Brunswick St,FI,CA,33,1,33,W,VIC
1,1897,R1,reg_season,Carlton,16,Fitzroy,49,Brunswick St,CA,FI,33,0,-33,L,VIC
2,1897,R1,reg_season,Collingwood,41,St Kilda,16,Victoria Park,CO,SK,25,1,25,W,VIC
2,1897,R1,reg_season,St Kilda,16,Collingwood,41,Victoria Park,SK,CO,25,0,-25,L,VIC
3,1897,R1,reg_season,Geelong,24,Essendon,47,Corio Oval,GE,ES,-23,1,-23,L,VIC
3,1897,R1,reg_season,Essendon,47,Geelong,24,Corio Oval,ES,GE,-23,0,23,W,VIC
4,1897,R1,reg_season,South Melbourne,27,Melbourne,44,Lake Oval,SM,ME,-17,1,-17,L,VIC
4,1897,R1,reg_season,Melbourne,44,South Melbourne,27,Lake Oval,ME,SM,-17,0,17,W,VIC
5,1897,R2,reg_season,South Melbourne,40,Carlton,36,Lake Oval,SM,CA,4,1,4,W,VIC
5,1897,R2,reg_season,Carlton,36,South Melbourne,40,Lake Oval,CA,SM,4,0,-4,L,VIC
6,1897,R2,reg_season,Essendon,30,Collingwood,50,East Melbourne,ES,CO,-20,1,-20,L,VIC
6,1897,R2,reg_season,Collingwood,50,Essendon,30,East Melbourne,CO,ES,-20,0,20,W,VIC
7,1897,R2,reg_season,St Kilda,26,Fitzroy,66,Junction Oval,SK,FI,-40,1,-40,L,VIC
7,1897,R2,reg_season,Fitzroy,66,St Kilda,26,Junction Oval,FI,SK,-40,0,40,W,VIC
8,1897,R2,reg_season,Geelong,19,Melbourne,64,M.C.G.,GE,ME,45,0,-45,L,VIC
8,1897,R2,reg_season,Melbourne,64,Geelong,19,M.C.G.,ME,GE,45,1,45,W,VIC
9,1897,R3,reg_season,Geelong,37,Collingwood,41,Victoria Park,GE,CO,4,0,-4,L,VIC
9,1897,R3,reg_season,Collingwood,41,Geelong,37,Victoria Park,CO,GE,4,1,4,W,VIC
10,1897,R3,reg_season,Melbourne,50,Fitzroy,39,Brunswick St,ME,FI,-11,0,11,W,VIC
10,1897,R3,reg_season,Fitzroy,39,Melbourne,50,Brunswick St,FI,ME,-11,1,-11,L,VIC
11,1897,R3,reg_season,Carlton,41,Essendon,78,East Melbourne,CA,ES,37,0,-37,L,VIC
11,1897,R3,reg_season,Essendon,78,Carlton,41,East Melbourne,ES,CA,37,1,37,W,VIC
12,1897,R3,reg_season,South Melbourne,59,St Kilda,2,Lake Oval,SM,SK,57,1,57,W,VIC
12,1897,R3,reg_season,St Kilda,2,South Melbourne,59,Lake Oval,SK,SM,57,0,-57,L,VIC
13,1897,R4,reg_season,Geelong,44,Carlton,22,Corio Oval,GE,CA,22,1,22,W,VIC
13,1897,R4,reg_season,Carlton,22,Geelong,44,Corio Oval,CA,GE,22,0,-22,L,VIC
14,1897,R4,reg_season,South Melbourne,41,Collingwood,33,Lake Oval,SM,CO,8,1,8,W,VIC
14,1897,R4,reg_season,Collingwood,33,South Melbourne,41,Lake Oval,CO,SM,8,0,-8,L,VIC
15,1897,R4,reg_season,Fitzroy,20,Essendon,42,Brunswick St,FI,ES,-22,1,-22,L,VIC
15,1897,R4,reg_season,Essendon,42,Fitzroy,20,Brunswick St,ES,FI,-22,0,22,W,VIC
16,1897,R4,reg_season,St Kilda,46,Melbourne,76,M.C.G.,SK,ME,30,0,-30,L,VIC
16,1897,R4,reg_season,Melbourne,76,St Kilda,46,M.C.G.,ME,SK,30,1,30,W,VIC
17,1897,R5,reg_season,Melbourne,107,Carlton,26,M.C.G.,ME,CA,81,1,81,W,VIC
17,1897,R5,reg_season,Carlton,26,Melbourne,107,M.C.G.,CA,ME,81,0,-81,L,VIC
18,1897,R5,reg_season,Fitzroy,21,Collingwood,37,Victoria Park,FI,CO,16,0,-16,L,VIC
18,1897,R5,reg_season,Collingwood,37,Fitzroy,21,Victoria Park,CO,FI,16,1,16,W,VIC
19,1897,R5,reg_season,St Kilda,26,Essendon,63,Junction Oval,SK,ES,-37,1,-37,L,VIC
19,1897,R5,reg_season,Essendon,63,St Kilda,26,Junction Oval,ES,SK,-37,0,37,W,VIC
20,1897,R5,reg_season,South Melbourne,24,Geelong,72,Corio Oval,SM,GE,48,0,-48,L,VIC
20,1897,R5,reg_season,Geelong,72,South Melbourne,24,Corio Oval,GE,SM,48,1,48,W,VIC
21,1897,R6,reg_season,St Kilda,24,Carlton,35,Junction Oval,SK,CA,-11,1,-11,L,VIC
21,1897,R6,reg_season,Carlton,35,St Kilda,24,Junction Oval,CA,SK,-11,0,11,W,VIC
22,1897,R6,reg_season,Melbourne,33,Collingwood,26,M.C.G.,ME,CO,7,1,7,W,VIC
22,1897,R6,reg_season,Collingwood,26,Melbourne,33,M.C.G.,CO,ME,7,0,-7,L,VIC
23,1897,R6,reg_season,South Melbourne,16,Essendon,19,Lake Oval,SM,ES,-3,1,-3,L,VIC
23,1897,R6,reg_season,Essendon,19,South Melbourne,16,Lake Oval,ES,SM,-3,0,3,W,VIC
24,1897,R6,reg_season,Fitzroy,15,Geelong,31,Corio Oval,FI,GE,16,0,-16,L,VIC
24,1897,R6,reg_season,Geelong,31,Fitzroy,15,Corio Oval,GE,FI,16,1,16,W,VIC
25,1897,R7,reg_season,Collingwood,41,Carlton,35,Princes Park,CO,CA,-6,0,6,W,VIC
25,1897,R7,reg_season,Carlton,35,Collingwood,41,Princes Park,CA,CO,-6,1,-6,L,VIC
26,1897,R7,reg_season,Melbourne,27,Essendon,63,East Melbourne,ME,ES,36,0,-36,L,VIC
26,1897,R7,reg_season,Essendon,63,Melbourne,27,East Melbourne,ES,ME,36,1,36,W,VIC
27,1897,R7,reg_season,Fitzroy,43,South Melbourne,43,Brunswick St,FI,SM,0,1,0,D,VIC
27,1897,R7,reg_season,South Melbourne,43,Fitzroy,43,Brunswick St,SM,FI,0,0,0,D,VIC
28,1897,R7,reg_season,Geelong,114,St Kilda,31,Junction Oval,GE,SK,-83,0,83,W,VIC
28,1897,R7,reg_season,St Kilda,31,Geelong,114,Junction Oval,SK,GE,-83,1,-83,L,VIC
29,1897,R8,reg_season,Fitzroy,47,Carlton,9,Princes Park,FI,CA,-38,0,38,W,VIC
29,1897,R8,reg_season,Carlton,9,Fitzroy,47,Princes Park,CA,FI,-38,1,-38,L,VIC
30,1897,R8,reg_season,Collingwood,53,St Kilda,29,Junction Oval,CO,SK,-24,0,24,W,VIC
30,1897,R8,reg_season,St Kilda,29,Collingwood,53,Junction Oval,SK,CO,-24,1,-24,L,VIC
31,1897,R8,reg_season,Essendon,32,Geelong,57,East Melbourne,ES,GE,-25,1,-25,L,VIC
31,1897,R8,reg_season,Geelong,57,Essendon,32,East Melbourne,GE,ES,-25,0,25,W,VIC
32,1897,R8,reg_season,Melbourne,20,South Melbourne,73,M.C.G.,ME,SM,-53,1,-53,L,VIC
32,1897,R8,reg_season,South Melbourne,73,Melbourne,20,M.C.G.,SM,ME,-53,0,53,W,VIC
33,1897,R9,reg_season,South Melbourne,74,Carlton,28,Princes Park,SM,CA,-46,0,46,W,VIC
33,1897,R9,reg_season,Carlton,28,South Melbourne,74,Princes Park,CA,SM,-46,1,-46,L,VIC
34,1897,R9,reg_season,Collingwood,37,Essendon,46,Victoria Park,CO,ES,-9,1,-9,L,VIC
34,1897,R9,reg_season,Essendon,46,Collingwood,37,Victoria Park,ES,CO,-9,0,9,W,VIC
35,1897,R9,reg_season,Fitzroy,75,St Kilda,18,Brunswick St,FI,SK,57,1,57,W,VIC
35,1897,R9,reg_season,St Kilda,18,Fitzroy,75,Brunswick St,SK,FI,57,0,-57,L,VIC
36,1897,R9,reg_season,Geelong,15,Melbourne,10,Corio Oval,GE,ME,5,1,5,W,VIC
36,1897,R9,reg_season,Melbourne,10,Geelong,15,Corio Oval,ME,GE,5,0,-5,L,VIC
37,1897,R10,reg_season,Essendon,42,Carlton,13,Princes Park,ES,CA,-29,0,29,W,VIC
37,1897,R10,reg_season,Carlton,13,Essendon,42,Princes Park,CA,ES,-29,1,-29,L,VIC
38,1897,R10,reg_season,Geelong,52,Collingwood,10,Corio Oval,GE,CO,42,1,42,W,VIC
38,1897,R10,reg_season,Collingwood,10,Geelong,52,Corio Oval,CO,GE,42,0,-42,L,VIC
39,1897,R10,reg_season,Melbourne,53,Fitzroy,26,M.C.G.,ME,FI,27,1,27,W,VIC
39,1897,R10,reg_season,Fitzroy,26,Melbourne,53,M.C.G.,FI,ME,27,0,-27,L,VIC
40,1897,R10,reg_season,St Kilda,3,South Melbourne,64,Junction Oval,SK,SM,-61,1,-61,L,VIC
40,1897,R10,reg_season,South Melbourne,64,St Kilda,3,Junction Oval,SM,SK,-61,0,61,W,VIC
